id,country,year,continent,least_developed,life_expectancy,population,co2_emissions,health_expenditure,electric_power_consumption,forest_area,gdp_per_capita,individuals_using_the_internet,military_expenditure,people_practicing_open_defecation,people_using_at_least_basic_drinking_water_services,obesity_among_adults,beer_consumption_per_capita,avg_years_of_schooling,secondary_enroll,annotations
43,Bolivia,2006,South America,False,65.853,9395449,1.195259486,4.6608758,476.5875809,49.74814179,4339.990861,6.200671255,1.567656118,25.75898878,84.48315277,14.2,2.34478,7.3,86.1677475,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
44,Bolivia,2007,South America,False,66.395,9558438,1.26380481,4.6968894,506.9475658,49.56210099,4581.253662,10.49924432,1.686580784,24.55371554,85.1929341,14.6,2.54528,7.1,85.63527679,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
45,Bolivia,2008,South America,False,66.937,9721457,1.348563251,4.60677242,538.6863418,49.37606019,4873.089266,12.5,1.96227205,23.35574551,85.89324953,15.0,2.78687,7.6,85.01277924,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
46,Bolivia,2009,South America,False,67.476,9884790,1.416317393,5.17444515,527.8015425,49.19001939,4985.203837,16.8,1.994105729,22.1662899,86.58319782,15.5,2.94352,7.9,83.46188354,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
47,Bolivia,2010,South America,False,68.007,10048597,1.509663496,5.20230532,546.597348,49.00397858,5167.676741,22.4,1.666248801,20.98484884,87.26318343,15.9,2.63,7.8,88.7091217,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
48,Bulgaria,2005,Europe,False,72.56097561,7658972,6.265854174,6.89011431,3971.822736,32.73195876,10291.43777,19.97,2.252898222,0.0,99.62024894,22.0,3.55422,10.2,89.22805786,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
49,Bulgaria,2006,Europe,False,72.61219512,7601022,6.439923574,6.52544594,4165.180392,33.0682132,11408.11806,27.09,2.096991297,0.0,99.57463754,22.4,3.96199,10.4,89.74011993,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
50,Bulgaria,2007,Europe,False,72.66341463,7545338,6.971191811,6.16035938,4366.912765,33.40760519,12811.35877,33.64,2.229611261,0.0,99.52976184,22.9,4.40923,10.5,90.23805237,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
51,Bulgaria,2008,Europe,False,72.96341463,7492561,6.678624427,6.28771019,4523.322878,33.74090784,14335.7146,39.67,2.133524802,0.0,99.48559306,23.3,4.40436,10.5,89.43395996,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
52,Bulgaria,2009,Europe,False,73.41219512,7444443,5.764030949,6.59577608,4674.503151,34.0899042,14181.15468,45.0,1.739511524,0.0,99.44213768,23.8,4.01937,10.6,88.74194336,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
